Time (s),Station ID,Range rate (km/s)
0,4,2.464923952
10,4,2.464972858
20,4,2.465023699
30,4,2.465075614
40,4,2.465126162
50,4,2.465175517
60,4,2.46522884
70,4,2.465278808
80,4,2.465330125
90,4,2.465378568
100,4,2.465429668
110,4,2.465480606
120,4,2.465530972
130,4,2.465579726
140,4,2.465631126
150,4,2.46568381
160,4,2.465733384
170,4,2.465782497
180,4,2.465833847
190,4,2.465884849
200,4,2.465935535
210,4,2.465986507
220,4,2.466035251
230,4,2.466086532
240,4,2.466136808
250,4,2.466188497
260,4,2.466237794
270,4,2.46628669
280,4,2.466337595
290,4,2.466389634
300,4,2.466439701
310,4,2.466487406
320,4,2.466539316
330,4,2.466588008
340,4,2.466639152
350,4,2.466690183
360,4,2.466740546
370,4,2.466790127
380,4,2.466841213
390,4,2.466890878
400,4,2.466940998
410,4,2.466989926
420,4,2.467039792
430,4,2.467089223
440,4,2.467138893
450,4,2.467190977
460,4,2.467238752
470,4,2.467293013
480,4,2.467339836
490,4,2.467390125
500,4,2.467441545
510,4,2.467491023
520,4,2.467539361
530,4,2.467591456
540,4,2.467640533
550,4,2.467691189
560,4,2.467740843
570,4,2.467789258
580,4,2.467839843
590,4,2.467889826
600,4,2.469
610,4,2.467988363
620,4,2.468038541
630,4,2.468087093
640,4,2.468138373
650,4,2.468187105
660,4,2.468237245
670,4,2.468288468
680,4,2.468336275
690,4,2.46838538
700,4,2.46843427
710,4,2.468483917
720,4,2.468533265
730,4,2.468584427
740,4,2.468631892
750,4,2.468683095
760,4,2.468730814
770,4,2.468783075
780,4,2.468831036
790,4,2.468880317
800,4,2.468929323
810,4,2.468980281
820,4,2.469029273
830,4,2.469078486
840,4,2.469126605
850,4,2.469175497
860,4,2.469226727
870,4,2.46927665
880,4,2.469324321
890,4,2.469374014
900,4,2.469423448
910,4,2.469474285
920,4,2.469523368
930,4,2.469569869
940,4,2.469620979
950,4,2.469668913
960,4,2.469718209
970,4,2.469768014
980,4,2.469814577
990,4,2.469864932
1000,4,2.469913549
1010,4,2.469963985
1020,4,2.470012656
1030,4,2.470062052
1040,4,2.470109437
1050,4,2.470160751
1060,4,2.470208728
1070,4,2.470258586
1080,4,2.470306116
1090,4,2.470355659
1100,4,2.470403263
1110,4,2.470454758
1120,4,2.470501309
1130,4,2.470551718
1140,4,2.470597315
1150,4,2.470646987
1160,4,2.47069705
1170,4,2.470744417
1180,4,2.470793856
1190,4,2.470842989
1200,4,2.470890746
1210,4,2.47094034
