Time (s),Station ID,Range (km),Range Rate (km/s)
518410,3,58933697.26,2.362005057
518420,3,58933720.88,2.362244496
518430,3,58933744.51,2.362483845
518440,3,58933768.13,2.362723061
518450,3,58933791.76,2.362962282
518460,3,58933815.39,2.363201508
518470,3,58933839.03,2.363440584
518480,3,58933862.66,2.363679346
518490,3,58933886.3,2.363918282
518500,3,58933909.94,2.364157424
518510,3,58933933.58,2.364396032
518520,3,58933957.23,2.364634861
518530,3,58933980.88,2.364873599
518540,3,58934004.53,2.36511197
518550,3,58934028.18,2.365350927
518560,3,58934051.83,2.365589273
518570,3,58934075.49,2.365827877
518580,3,58934099.15,2.366066101
518590,3,58934122.81,2.366304393
518600,3,58934146.48,2.366542809
518610,3,58934170.14,2.366780924
518620,3,58934193.81,2.367019007
518630,3,58934217.48,2.367257196
518640,3,58934241.16,2.36749531
518650,3,58934264.83,2.367733106
518660,3,58934288.51,2.367971254
518670,3,58934312.19,2.36820877
518680,3,58934335.87,2.368446819
518690,3,58934359.56,2.36868449
518700,3,58934383.25,2.368922056
518710,3,58934406.94,2.369159881
518720,3,58934430.63,2.369397276
518730,3,58934454.33,2.369634461
518740,3,58934478.03,2.36987199
518750,3,58934501.72,2.370109626
518760,3,58934525.43,2.370346864
518770,3,58934549.13,2.370584134
518780,3,58934572.84,2.370821392
518790,3,58934596.55,2.371058145
518800,3,58934620.26,2.371295322
518810,3,58934643.97,2.371532381
518820,3,58934667.69,2.371769164
518830,3,58934691.41,2.372006169
518840,3,58934715.13,2.372242724
518850,3,58934738.85,2.372479282
518860,3,58934762.58,2.372716186
518870,3,58934786.31,2.372952644
518880,3,58934810.04,2.373189381
518890,3,58934833.77,2.373425701
518900,3,58934857.51,2.373662061
518910,3,58934881.25,2.373898474
518920,3,58934904.99,2.374134729
518930,3,58934928.73,2.374370698
518940,3,58934952.47,2.374607166
518950,3,58934976.22,2.374843079
518960,3,58934999.97,2.375078955
518970,3,58935023.72,2.375315069
518980,3,58935047.48,2.375550817
518990,3,58935071.23,2.375786719
519000,3,58935094.99,2.376022487
519010,3,58935118.75,2.376258283
519020,3,58935142.52,2.376493606
519030,3,58935166.28,2.37672922
519040,3,58935190.05,2.376964661
519050,3,58935213.82,2.377200254
519060,3,58935237.6,2.377435475
519070,3,58935261.37,2.377670516
519080,3,58935285.15,2.377905713
519090,3,58935308.93,2.378141104
519100,3,58935332.71,2.378376361
519110,3,58935356.5,2.378611314
519120,3,58935380.28,2.378846045
519130,3,58935404.08,2.379080921
519140,3,58935427.86,2.379315815
519150,3,58935451.66,2.379550436
519160,3,58935475.46,2.379785204
519170,3,58935499.26,2.380019734
519180,3,58935523.06,2.380254114
519190,3,58935546.86,2.380488797
519200,3,58935570.67,2.380723051
519210,3,58935594.48,2.380957295
519220,3,58935618.29,2.381191586
519230,3,58935642.1,2.381425982
519240,3,58935665.91,2.381659938
519250,3,58935689.73,2.381894003
519260,3,58935713.55,2.382127842
519270,3,58935737.37,2.38236185
519280,3,58935761.2,2.382595696
519290,3,58935785.03,2.38282937
519300,3,58935808.86,2.383063038
519310,3,58935832.69,2.383296722
519320,3,58935856.52,2.383530283
519330,3,58935880.36,2.383763775
519340,3,58935904.2,2.383997439
519350,3,58935928.04,2.384230359
519360,3,58935951.88,2.384463784
519370,3,58935975.73,2.384697002
519380,3,58935999.58,2.384930194
519390,3,58936023.43,2.385163322
519400,3,58936047.28,2.385396124
519410,3,58936071.13,2.385629188
519420,3,58936094.99,2.38586193
519430,3,58936118.85,2.386094673
519440,3,58936142.71,2.386327369
519450,3,58936166.58,2.386560126
519460,3,58936190.45,2.386792619
519470,3,58936214.32,2.387025204
519480,3,58936238.19,2.387257447
519490,3,58936262.06,2.387489862
519500,3,58936285.93,2.387722031
519510,3,58936309.81,2.387954349
519520,3,58936333.69,2.388186539
519530,3,58936357.58,2.388418581
519540,3,58936381.46,2.388650538
519550,3,58936405.35,2.388882446
519560,3,58936429.24,2.389114242
519570,3,58936453.13,2.389346063
519580,3,58936477.03,2.38957783
519590,3,58936500.93,2.389809508
519600,3,58936524.82,2.390041003
519610,3,58936548.73,2.390272357
519620,3,58936572.63,2.390503832
519630,3,58936596.54,2.39073508
519640,3,58936620.44,2.390966498
519650,3,58936644.35,2.391197446
519660,3,58936668.27,2.391428574
519670,3,58936692.19,2.391659817
519680,3,58936716.1,2.391890752
519690,3,58936740.02,2.392121533
519700,3,58936763.94,2.392352389
519710,3,58936787.87,2.392583029
519720,3,58936811.8,2.392813782
519730,3,58936835.72,2.393044109
519740,3,58936859.66,2.393274895
519750,3,58936883.59,2.393505248
519760,3,58936907.52,2.393735738
519770,3,58936931.46,2.393965847
519780,3,58936955.41,2.394195818
519790,3,58936979.35,2.394426031
519800,3,58937003.29,2.394656114
519810,3,58937027.24,2.394886133
519820,3,58937051.19,2.395115852
519830,3,58937075.14,2.395345686
519840,3,58937099.1,2.39557576
519850,3,58937123.06,2.395805178
519860,3,58937147.01,2.396034793
519870,3,58937170.98,2.396264443
519880,3,58937194.94,2.396493696
519890,3,58937218.91,2.396723078
519900,3,58937242.87,2.396952459
519910,3,58937266.84,2.397181372
519920,3,58937290.82,2.397410692
519930,3,58937314.79,2.397640053
519940,3,58937338.77,2.397868648
519950,3,58937362.75,2.398097641
519960,3,58937386.73,2.398326319
519970,3,58937410.72,2.398555168
519980,3,58937434.7,2.398784049
519990,3,58937458.69,2.39901252
520000,3,58937482.68,2.399240779
520010,3,58937506.68,2.399469376
520020,3,58937530.67,2.399697832
520030,3,58937554.67,2.399925945
520040,3,58937578.67,2.400154038
520050,3,58937602.67,2.400382225
520060,3,58937626.68,2.400610281
520070,3,58937650.69,2.400838221
520080,3,58937674.7,2.401066142
520090,3,58937698.71,2.401293972
520100,3,58937722.72,2.401521643
520110,3,58937746.74,2.401749132
520120,3,58937770.76,2.401976655
520130,3,58937794.78,2.402204193
520140,3,58937818.8,2.402431637
520150,3,58937842.83,2.402658906
520160,3,58937866.85,2.402886417
520170,3,58937890.89,2.403113122
520180,3,58937914.92,2.403340499
520190,3,58937938.95,2.40356744
520200,3,58937962.99,2.403794325
520210,3,58937987.03,2.404020925
520220,3,58938011.07,2.404247633
520230,3,58938035.11,2.404474364
520240,3,58938059.16,2.404700971
520250,3,58938083.21,2.404927527
520260,3,58938107.26,2.405153825
520270,3,58938131.31,2.405380282
520280,3,58938155.36,2.405606384
520290,3,58938179.42,2.405832583
520300,3,58938203.48,2.406058792
520310,3,58938227.54,2.406284741
520320,3,58938251.61,2.406510631
520330,3,58938275.67,2.40673664
520340,3,58938299.74,2.406962281
520350,3,58938323.81,2.407187827
520360,3,58938347.89,2.407413536
520370,3,58938371.96,2.407639148
520380,3,58938396.04,2.407864476
520390,3,58938420.12,2.408089768
520400,3,58938444.2,2.408315122
520410,3,58938468.28,2.408540397
520420,3,58938492.37,2.408765507
520430,3,58938516.46,2.408990458
520440,3,58938540.55,2.40921533
520450,3,58938564.64,2.409440254
520460,3,58938588.74,2.409664813
